         time                    omegax                   omegay                   omegaz                     bix                      biy                      biz                      bjx                      bjy                      bjz                      bkx                      bky                      bkz
 6.000000000000001e-01   -1.086475290265295e-01   -4.363332468006316e-01    3.141592653589793e+02    8.723676736042853e-02    8.382395627471349e-02   -9.926546684392047e-01   -5.983338730648241e-01    8.011052360368236e-01    1.506576039394368e-02    7.964837241042269e-01    5.926246241499235e-01    1.200405435208813e-01
 6.100000000000001e-01    6.923606847144403e-02    3.491746881583886e-01    3.141592653589793e+02   -9.036572601734108e-02   -8.615415791279125e-02    9.921751340539013e-01    5.990363044586069e-01   -8.005821375338882e-01   -1.495817505073498e-02    7.956063986049370e-01    5.929972193324364e-01    1.239546544646451e-01
 6.200000000000000e-01   -3.841966929513655e-02   -2.586636924668645e-01    3.141592653589793e+02    9.278474732296110e-02    8.795811879215588e-02   -9.917935067351094e-01   -5.994586066896151e-01    8.002672174784675e-01    1.489159137252567e-02    7.950096663117597e-01    5.931574411299281e-01    1.269798429028405e-01
 6.300000000000000e-01    1.647849071377384e-02    1.656345494207797e-01    3.141592653589793e+02   -9.447234887478692e-02   -8.921757400988713e-02    9.915216587573994e-01    5.996708275335053e-01   -8.001088398127687e-01   -1.485742431657699e-02    7.946507873918771e-01    5.931829978524658e-01    1.290893378897051e-01
 6.400000000000000e-01   -3.611894105762279e-03   -7.094373495459019e-02    3.141592653589793e+02    9.541304505931739e-02    8.991983783080712e-02   -9.913681322274427e-01   -5.997445863958721e-01    8.000537765812658e-01    1.484539206160028e-02    7.944827134183079e-01    5.931512263685464e-01    1.302645029835209e-01
 6.500000000000000e-01   -6.319937585391061e-05   -2.453764101013094e-02    3.141592653589793e+02   -9.559761906916814e-02   -9.005763955634845e-02    9.913378419010184e-01    5.997525764784399e-01   -8.000478112399717e-01   -1.484408084572633e-02    7.944544934953408e-01    5.931383660560464e-01    1.304949672516032e-01
 6.600000000000000e-01   -5.486726930574930e-03    1.199314900448560e-01    3.141592653589793e+02    9.502337752967814e-02    8.962890055191326e-02   -9.914319028091733e-01   -5.997680200224247e-01    8.000362807136043e-01    1.484155311478469e-02    7.945117241931589e-01    5.932188548316361e-01    1.297786977605729e-01
 6.700000000000000e-01    2.021150338752120e-02   -2.143604505475886e-01    3.141592653589793e+02   -9.369437686610398e-02   -8.863646937012327e-02    9.916475886323555e-01    5.998640734926612e-01   -7.999645515773287e-01   -1.482597554957937e-02    7.945970406914534e-01    5.934646514471040e-01    1.281220137514552e-01
 6.800000000000000e-01   -4.397767619330351e-02    3.069555896326455e-01    3.141592653589793e+02    9.162160921944747e-02    8.708783177534989e-02   -9.919784222853785e-01   -6.001131818775548e-01    7.997784292897621e-01    1.478624286642927e-02    7.946506462968365e-01    5.939445879873081e-01    1.255395425401251e-01
 6.900000000000001e-01    7.656959211785844e-02   -3.968640481954935e-01    3.141592653589793e+02   -8.882313487715350e-02   -8.499481165734954e-02    9.924143956538475e-01    6.005863838960371e-01   -7.994245027895444e-01   -1.471257342768015e-02    7.946108772150146e-01    5.947237563196509e-01    1.220541170186561e-01
