         time                     bimag                    bjmag                    bkmag                    bibj                     bkbi                     bjbk                     epum
 1.380000000000000e+00    9.999999999990786e-01    9.999999999990536e-01    1.000000000000006e+00   -2.141689603440966e-14    9.353628982466944e-15   -5.314759049523943e-15    1.543404844354029e+03
 1.390000000000000e+00    9.999999999990726e-01    9.999999999990474e-01    1.000000000000006e+00   -2.233283002972541e-14    9.728329253277934e-15   -5.355091370340404e-15    1.543404844354026e+03
 1.400000000000000e+00    9.999999999990666e-01    9.999999999990404e-01    1.000000000000006e+00   -2.316896674514624e-14    9.742207041085749e-15   -4.577501572233800e-15    1.543404844354025e+03
 1.410000000000000e+00    9.999999999990605e-01    9.999999999990344e-01    1.000000000000006e+00   -2.451858160945619e-14    1.074140776324839e-14   -6.166941957097549e-15    1.543404844354023e+03
 1.420000000000000e+00    9.999999999990533e-01    9.999999999990281e-01    1.000000000000006e+00   -2.510838759128831e-14    1.117161918529064e-14   -5.991951726458389e-15    1.543404844354022e+03
 1.430000000000000e+00    9.999999999990479e-01    9.999999999990218e-01    1.000000000000006e+00   -2.419592304292451e-14    1.160876950123679e-14   -5.723286428116481e-15    1.543404844354025e+03
 1.440000000000000e+00    9.999999999990408e-01    9.999999999990145e-01    1.000000000000006e+00   -2.313774172257865e-14    1.202510313547123e-14   -5.369619679451709e-15    1.543404844354011e+03
 1.450000000000000e+00    9.999999999990346e-01    9.999999999990077e-01    1.000000000000006e+00   -2.293998324631730e-14    1.212918654402984e-14   -5.681002543389546e-15    1.543404844354020e+03
 1.460000000000000e+00    9.999999999990273e-01    9.999999999990009e-01    1.000000000000005e+00   -2.350550309948574e-14    1.204245037023099e-14   -5.263367866548130e-15    1.543404844354024e+03
 1.470000000000000e+00    9.999999999990213e-01    9.999999999989934e-01    1.000000000000005e+00   -2.177771851741284e-14    1.194357113210032e-14   -5.517342225452859e-15    1.543404844354020e+03
 1.480000000000000e+00    9.999999999990162e-01    9.999999999989879e-01    1.000000000000003e+00   -2.192690473634684e-14    1.232521029681521e-14   -5.579521220044903e-15    1.543404844354009e+03
 1.490000000000000e+00    9.999999999990092e-01    9.999999999989806e-01    1.000000000000002e+00   -1.977584762613560e-14    1.228444429512976e-14   -5.916599675470646e-15    1.543404844354012e+03
 1.500000000000000e+00    9.999999999990024e-01    9.999999999989723e-01    1.000000000000001e+00   -2.074382332573066e-14    1.224367829344430e-14   -5.432015514478250e-15    1.543404844354005e+03
