         time                    bomegax                  bomegay                  bomegaz                    bix                      biy                      biz                      bjx                      bjy                      bjz                      bkx                      bky                      bkz
 6.100000000000001e-01    2.501500334640597e+02    1.860100627689411e+02    3.900497447912380e+01   -9.036572604799105e-02   -8.615415790297512e-02    9.921751340519661e-01    5.990363043847318e-01   -8.005821375897849e-01   -1.495817503586581e-02    7.956063986574015e-01    5.929972192579455e-01    1.239546544820411e-01
 6.200000000000000e-01    2.499111461558295e+02    1.861355265289649e+02    3.992614663022579e+01    9.278474735027402e-02    8.795811877956934e-02   -9.917935067336755e-01   -5.994586066143481e-01    8.002672175354624e-01    1.489159135792707e-02    7.950096663656533e-01    5.931574410544436e-01    1.269798429158569e-01
 6.300000000000000e-01    2.497446770465993e+02    1.862199389670828e+02    4.056848943733992e+01   -9.447234889859051e-02   -8.921757399450420e-02    9.915216587565203e-01    5.996708274571679e-01   -8.001088398705917e-01   -1.485742430220955e-02    7.946507874469818e-01    5.931829977763271e-01    1.290893378982232e-01
 6.400000000000000e-01    2.496363091044101e+02    1.862868699150750e+02    4.092632808997307e+01    9.541304507946807e-02    8.991983781263339e-02   -9.913681322271569e-01   -5.997445863188013e-01    8.000537766396431e-01    1.484539204741296e-02    7.944827134743940e-01    5.931512262921005e-01    1.302645029874156e-01
 6.500000000000000e-01    2.495705295835026e+02    1.863595502903455e+02    4.099650463134201e+01   -9.559761908555378e-02   -9.005763953541260e-02    9.913378419013467e-01    5.997525764009974e-01   -8.000478112986250e-01   -1.484408083166397e-02    7.944544935521577e-01    5.931383659796461e-01    1.304949672508393e-01
 6.600000000000000e-01    2.495307671696926e+02    1.864606573814489e+02    4.077840003171794e+01    9.502337754222059e-02    8.962890052827231e-02   -9.914319028101142e-01   -5.997680199449921e-01    8.000362807722533e-01    1.484155310078459e-02    7.945117242504369e-01    5.932188547556478e-01    1.297786977550913e-01
 6.700000000000000e-01    2.494995417405531e+02    1.866121081772965e+02    4.027393850475403e+01   -9.369437687476016e-02   -8.863646934386094e-02    9.916475886338932e-01    5.998640734156238e-01   -7.999645516356966e-01   -1.482597553558266e-02    7.945970407489111e-01    5.934646513718842e-01    1.281220137413194e-01
 6.800000000000000e-01    2.494586258743581e+02    1.868348619420094e+02    3.948757407913818e+01    9.162160922421358e-02    8.708783174657064e-02   -9.919784222874716e-01   -6.001131818013117e-01    7.997784293475724e-01    1.478624285238123e-02    7.946506463541900e-01    5.939445879132189e-01    1.255395425253545e-01
 6.900000000000001e-01    2.493892171549520e+02    1.871487331808171e+02    3.842625938767674e+01   -8.882313487806651e-02   -8.499481162618308e-02    9.924143956564433e-01    6.005863838209885e-01   -7.994245028465276e-01   -1.471257341353035e-02    7.946108772719596e-01    5.947237562470443e-01    1.220541169994115e-01
 7.000000000000001e-01    2.492721202161581e+02    1.875722161049696e+02    3.709939659128627e+01    8.532414788273891e-02    8.237327733609343e-02   -9.929423109970009e-01   -6.013525726541684e-01    7.988504299218131e-01    1.459705364015528e-02    7.944147991760665e-01    5.958629320523492e-01    1.176966144629555e-01
 7.100000000000001e-01    2.490879373483228e+02    1.881223216822467e+02    3.551877032355281e+01   -8.115696179162839e-02   -7.924286597538163e-02    9.935462323132317e-01    6.024777197369329e-01   -7.980051714677109e-01   -1.443410996174410e-02    7.939988317201608e-01    5.974180399872163e-01    1.125057364087160e-01
 7.200000000000001e-01    2.488172663513161e+02    1.888144283502812e+02    3.369846252931730e+01    7.636090339965548e-02    7.562673564230522e-02   -9.942080311922263e-01   -6.040240720790823e-01    7.968391849359064e-01    1.422088951799256e-02    7.932993966849047e-01    5.994396635243046e-01    1.065277288467554e-01
 7.300000000000001e-01    2.484409041643799e+02    1.896621474676520e+02    3.165474908436785e+01   -7.098210382601407e-02   -7.155135282341833e-02    9.949080082322207e-01    6.060493363345977e-01   -7.953045889297062e-01   -1.395753397732083e-02    7.922535849489406e-01    6.019726029777837e-01    9.981604279730358e-02
 7.400000000000001e-01    2.479400546363195e+02    1.906772045770085e+02    2.940597812803393e+01    6.507317841144619e-02    6.704631896349081e-02   -9.956255684562848e-01   -6.086058653759083e-01    7.933553118800851e-01    1.364733456263727e-02    7.907998369253132e-01    6.050554852444897e-01    9.243093472676404e-02
 7.500000000000001e-01    2.472965386237319e+02    1.918693375492985e+02    2.697243012057384e+01   -5.869278955239600e-02   -6.214423701214663e-02    9.963399270629215e-01    6.117398652614712e-01   -7.909472380679015e-01   -1.329676056750246e-02    7.888786305281952e-01    6.087204287670052e-01    8.443900696765487e-02
